speed_p,speed_r,speed_d,distance_d_p,distance_d_r,angle_d,possTimePre,possessionTime,flag
3.61,0.90,2.06,1.64,10.68,0.24,2.44,40.12,1
3.26,2.66,3.01,10.12,18.12,0.14,1.84,42.96,1
1.68,0.50,4.14,11.29,13.25,0.03,2.76,46.48,1
5.30,4.32,6.04,15.27,16.38,0.60,7.44,60.56,0
1.50,2.51,2.69,27.31,43.15,0.19,0.92,2.68,0
0.50,2.92,4.14,14.79,13.26,0.37,12.88,16.72,1
3.29,2.46,4.72,5.76,7.62,0.47,2.28,19.36,1
1.77,0.90,2.69,8.49,16.30,0.67,0.24,29.48,1
1.95,2.02,5.66,21.11,16.20,0.25,2.40,33.44,1
3.02,3.40,6.66,9.62,18.75,0.62,1.56,36.20,1
2.92,0.25,1.80,10.85,16.24,0.68,2.16,39.92,1
0.50,3.25,0.00,15.70,11.51,0.35,0.48,41.32,1
3.16,2.02,1.82,8.14,23.44,0.25,2.48,45.12,1
4.61,2.66,4.07,0.14,12.01,0.46,3.56,48.96,1
3.54,3.29,5.53,21.05,13.58,2.47,3.00,55.16,1
1.75,1.35,4.50,0.42,6.50,0.77,7.20,62.68,1
3.88,1.03,1.03,7.54,0.86,1.75,2.28,64.96,1
0.56,2.06,1.60,3.31,2.91,2.75,2.76,68.16,1
1.77,1.68,4.74,9.67,5.49,0.95,1.28,81.52,1
2.02,1.12,2.50,1.36,30.37,0.98,0.20,85.32,1
1.52,3.01,0.35,0.99,13.45,0.48,0.68,86.80,1
1.50,0.50,3.61,1.97,6.72,2.88,0.24,5.88,1
1.77,1.06,4.45,29.80,34.12,0.04,1.12,11.60,0
1.35,2.02,5.53,8.24,6.15,1.00,1.56,1.64,1
5.77,1.12,6.52,15.98,12.39,0.03,5.32,7.80,1
1.25,1.25,2.26,1.04,15.75,0.49,2.00,10.72,1
2.55,0.25,3.25,11.79,14.00,0.09,2.24,14.12,1
9.91,1.52,1.06,9.61,17.76,1.62,0.00,0.52,1
3.01,0.90,3.88,12.31,21.76,0.21,1.96,3.60,1
1.41,1.82,1.35,5.47,17.62,0.10,1.88,14.92,1
4.59,0.56,3.54,18.65,26.68,0.09,0.28,19.96,0
1.68,4.51,5.22,1.46,10.57,0.40,1.80,2.20,1
2.50,1.95,1.03,3.35,4.42,0.43,4.36,6.56,1
2.50,1.27,5.01,2.82,12.12,0.15,3.08,10.28,1
0.56,4.03,2.37,4.94,11.67,0.74,1.12,12.40,1
4.60,1.00,3.75,2.86,10.40,2.14,1.32,14.20,1
3.05,3.58,1.41,1.84,7.40,0.19,0.68,14.92,1
7.30,4.80,9.49,3.73,1.52,1.59,3.08,18.00,1
3.82,7.07,3.50,1.32,1.41,0.12,2.88,20.88,0
4.53,5.32,6.17,4.96,9.84,1.95,2.84,5.24,1
2.30,5.71,7.11,11.26,0.73,2.60,2.64,9.24,0
3.69,7.63,5.30,11.10,13.21,0.85,0.00,5.48,1
3.78,1.27,2.55,4.12,76.38,0.03,4.04,23.76,0
