speed_p	speed_r	speed_d	distance_d_p	distance_d_r	distance_d1_p	distance_d2_r	angle_d	angle_d1_p	angle_d2_r	possTimePre	possessionTime	flag
1.82	1.25	0.75	0.76	14.52	0.3	7.66	1.41	1.33	3.01	1.36	7	1
1.52	0.56	0.5	31.47	86.6	5.51	46.71	0.02	0.83	0.07	1.28	14.2	0
2.37	1.9	6.91	15.48	8.2	15.48	8.2	0.75	0.75	1.58	0.92	7.88	1
3.51	2.85	5.3	3.81	23.12	3.81	16.91	1.32	1.32	0.81	2.52	11.8	1
3.48	0.79	5.48	4.5	11.31	4.5	10.62	1.11	1.11	0.03	2.44	14.64	1
2.25	1.27	0.56	2.06	7.55	1.3	7.55	0.13	0.13	0.43	2.04	17	1
0.75	0.5	2.7	8.2	8.17	8.2	5.49	0.17	0.17	2.4	1.56	18.88	1
2.8	3.48	3.89	1.97	4.5	1.97	3.76	0.69	0.69	0.68	0.72	19.84	1
1	3.4	1.9	2.91	26.72	2.91	19.52	0.08	0.08	0.64	8.08	28.92	0
2.75	2.57	7.16	2.4	18.35	2.4	8.16	0.25	0.25	1.28	2.36	3.2	1
3.01	0.9	4.98	3.54	6.79	3.54	6.28	2.13	2.13	0.51	2.68	6.04	1
1	2.5	3.34	4.27	15.95	3.45	15.78	0.89	0.67	0.99	0.72	8.24	1
3.04	2.36	4.61	16.6	22.75	10.06	22.75	0.82	0.08	0.25	1.76	10.48	1
2.5	1.41	0.75	17.79	17.9	16.59	17.9	0.12	1.24	0.44	3.68	16.44	1
3.26	4.76	1.25	16.53	14.2	3.64	7.78	0.05	1.04	0.93	6.08	23.72	1
3.95	1.25	1.5	2.47	8.49	2.47	7.02	1.52	1.52	0.06	1.4	25.28	1
1.27	5.27	4.85	13.83	29.57	10.32	13.2	0.71	1.29	0.27	2.16	29.56	1
8.78	4.37	1.27	2.62	1.35	2.62	1.35	2.32	2.32	0.78	8.72	38.76	1
4.96	1.12	1.35	1.7	9.21	1.7	6.53	0.38	0.38	2.95	4.8	43.8	1
11.24	0.25	5.15	6.71	5.21	2.8	5.21	0.49	1.95	0.84	2.88	47	1
2	2.25	5.03	6.08	12.88	3.32	12.88	1.51	1.59	0.16	1.72	50.08	1
3.4	3.82	5.48	7.16	18.36	7.16	18.36	0.95	0.95	0.61	1.12	52.4	1
1.82	3	4.19	3.21	24.89	3.21	24.89	1.48	1.48	0.04	4.52	57.56	1
5.59	0.9	1.25	15.2	7.34	15.2	7.34	0.53	0.53	2.11	5.56	68.88	1
2.3	1.58	2.5	3.55	19.54	3.55	11.14	0.73	0.73	1.35	1.12	71.8	1
6.73	4.19	4.26	9.2	13.19	1.7	10.73	0.45	1.32	1.38	1.88	74.88	0
5.76	5.26	5.3	15.12	2.21	3.14	2.21	1.38	0.15	0.05	2.72	21.56	1
0.56	1.52	1.9	7.18	11.78	4.95	11.78	2.53	1.02	0.21	2.4	24.64	1
0.25	1.27	3.95	5.46	5.96	5.46	5.96	0.44	0.44	2.46	2.84	27.88	1
0.56	0.5	1.46	11.76	17.27	1.39	16.55	0.19	1.71	0.68	0.56	29.96	0
1.27	4.96	2.51	3.67	11.35	3.67	4.02	1.99	1.99	2.11	0	0.64	1
8.53	7.4	6.83	5.12	4.48	5.12	2.91	3.13	3.13	2.09	0.92	1.8	1
2.85	6.83	3.01	1.2	18.06	1.2	10.85	0.12	0.12	2.31	2.76	9.16	0
3.02	3.01	5.22	3.26	41.71	3.26	14.7	1.27	1.27	0.46	3.92	7.44	1
0.71	1.77	5.22	10.29	16.14	2.75	16.14	1.28	0.42	0.74	3	11.92	1
1.68	5.25	3.58	5.44	23.34	5.44	1.57	0.09	0.09	1.21	1.88	14.72	1
3.64	1.8	3.47	17.41	19.55	4.72	3.05	0.01	1.23	1.48	0.44	16.68	0
2.47	5.55	4.61	2.52	28.71	2.52	5.66	2.67	2.67	0.37	2.4	4.6	1
6.54	3.05	1.58	8.61	19.77	4.43	10.42	0.06	0.28	2.62	2.64	8.2	0
4.03	0.25	5.59	0.82	9.36	0.82	6.86	3.05	3.05	1.7	1.28	1.56	1
0.56	2.8	2.69	4.3	15.73	1.92	14.43	0.12	0.92	0.67	1.08	3.2	1
2.02	1.95	4.37	18.9	9.43	17.43	9.43	0.5	0.35	0.77	1.2	5.36	1
0.79	2.02	3.05	2.52	18.07	2.52	17.78	0.79	0.79	0.24	0.72	6.36	1
2.02	2.51	3.61	5.32	19.83	5.32	8.97	0.11	0.11	1.59	4.68	11.76	1
2.47	1.35	6.37	18.87	13.32	4.68	6.43	0.03	1.1	1.93	2.96	16	0
2.69	1.12	2.02	10.78	14.14	4.75	12.43	1.45	1.2	1.39	1.56	4	1
2.37	3.48	2.7	4.77	14.33	4.77	14.33	1.72	1.72	0.75	1.08	5.92	1
