speed_p,speed_r,speed_d,distance_d_p,distance_d_r,angle_d,possTimePre,possessionTime,flag
2.80,2.47,1.58,14.79,13.26,0.37,12.88,16.72,1
2.70,1.90,3.64,5.76,7.62,0.47,2.28,19.36,1
0.90,0.35,2.02,8.49,16.30,0.67,0.24,29.48,1
3.72,2.12,3.91,21.11,16.20,0.25,2.40,33.44,1
3.58,2.02,3.64,9.62,18.75,0.62,1.56,36.20,1
3.34,0.25,1.80,10.85,16.24,0.68,2.16,39.92,1
0.75,3.02,1.68,15.70,11.51,0.35,0.48,41.32,1
1.35,1.95,2.25,8.14,23.44,0.25,2.48,45.12,1
3.04,2.66,4.04,0.14,12.01,0.46,3.56,48.96,1
1.35,1.82,1.03,1.80,25.02,1.83,3.00,55.16,1
1.25,1.25,3.82,0.42,6.50,0.77,7.20,62.68,1
3.88,1.03,1.03,7.54,0.86,1.75,2.28,64.96,1
5.90,3.04,2.85,1.25,4.60,1.12,2.76,68.16,1
1.52,2.02,4.19,9.67,5.49,0.95,1.28,81.52,1
1.12,0.25,1.90,3.22,26.73,0.70,0.20,85.32,1
0.50,3.34,1.95,0.99,13.45,0.48,0.68,86.80,1
0.50,0.00,3.35,1.97,6.72,2.88,0.24,5.88,1
0.25,0.00,0.79,29.80,34.12,0.04,1.12,11.60,0
1.90,1.95,5.46,8.24,6.15,1.00,1.56,1.64,1
4.83,0.79,2.51,5.52,21.37,0.77,5.32,7.80,1
0.56,0.25,2.51,1.04,15.75,0.49,2.00,10.72,1
2.83,3.75,0.79,11.79,14.00,0.09,2.24,14.12,1
2.25,0.35,1.58,9.61,17.76,1.62,0.00,0.52,1
2.69,0.25,2.80,12.31,21.76,0.21,1.96,3.60,1
1.00,1.35,1.95,5.47,17.62,0.10,1.88,14.92,1
2.85,0.56,0.25,18.65,26.68,0.09,0.28,19.96,0
2.30,3.04,5.26,1.46,10.57,0.40,1.80,2.20,1
2.50,1.95,1.03,3.35,4.42,0.43,4.36,6.56,1
4.12,1.06,5.01,2.82,12.12,0.15,3.08,10.28,1
0.25,1.80,2.50,4.94,11.67,0.74,1.12,12.40,1
4.91,1.90,3.35,2.86,10.40,2.14,1.32,14.20,1
2.66,3.88,1.25,1.84,7.40,0.19,0.68,14.92,1
7.30,4.80,9.49,3.73,1.52,1.59,3.08,18.00,1
3.82,7.07,3.50,1.32,1.41,0.12,2.88,20.88,0
4.12,5.13,6.04,4.96,9.84,1.95,2.84,5.24,1
2.06,3.55,3.01,11.26,0.73,2.60,2.64,9.24,0
0.75,0.25,3.18,5.34,17.81,2.83,0.00,5.48,1
3.78,1.27,2.55,4.12,76.38,0.03,4.04,23.76,0
2.14,1.90,3.76,2.21,8.34,1.01,0.64,0.84,1
1.52,0.50,3.91,9.41,9.58,0.82,0.00,2.64,1
4.85,1.35,4.51,1.39,19.85,0.06,8.92,11.56,0
5.55,0.79,4.42,1.42,20.02,0.11,1.88,1.88,0
0.71,1.46,5.15,4.97,2.92,2.19,3.72,3.72,1
1.25,1.82,4.01,4.89,26.77,0.01,0.80,8.28,0
4.03,6.33,5.52,17.91,2.33,1.72,3.16,5.48,1
3.51,1.06,2.69,13.64,21.40,0.47,2.28,3.36,1
1.25,2.46,3.89,10.35,4.53,1.20,2.88,6.36,1
1.41,0.56,2.26,6.44,10.41,0.91,1.32,7.96,1
3.88,12.61,1.46,8.37,8.96,0.62,1.64,10.60,1
4.81,0.90,3.88,2.02,7.71,1.81,2.16,12.76,1
0.75,5.26,1.77,13.76,4.88,0.34,2.16,15.48,1
7.46,4.01,1.95,1.14,11.16,2.36,0.84,17.60,1
4.04,4.32,1.82,1.24,4.85,1.24,1.48,19.12,1
5.22,0.90,1.58,4.61,6.00,0.75,0.80,19.96,0
2.24,5.15,4.16,12.76,12.50,1.28,2.20,21.92,1
3.81,1.12,0.90,24.60,89.31,0.01,3.08,27.16,0
2.92,1.80,2.85,31.71,8.51,0.14,14.32,27.44,0
1.68,1.41,4.83,1.64,16.02,3.07,5.28,13.64,1
3.05,3.54,3.75,4.47,16.92,0.64,3.68,18.32,1
1.25,1.77,1.82,12.76,9.77,0.14,2.84,22.32,1
